,location,time,students
0,595,2020-12-18 00:00:00,0
1,595,2020-12-18 00:30:00,0
2,595,2020-12-18 01:00:00,0
3,595,2020-12-18 01:30:00,0
4,595,2020-12-18 02:00:00,0
5,595,2020-12-18 02:30:00,0
6,595,2020-12-18 03:00:00,0
7,595,2020-12-18 03:30:00,0
8,595,2020-12-18 04:00:00,0
9,595,2020-12-18 04:30:00,0
10,595,2020-12-18 05:00:00,0
11,595,2020-12-18 05:30:00,0
12,595,2020-12-18 06:00:00,0
13,595,2020-12-18 06:30:00,0
14,595,2020-12-18 07:00:00,0
15,595,2020-12-18 07:30:00,0
16,595,2020-12-18 08:00:00,0
17,595,2020-12-18 08:30:00,2
18,595,2020-12-18 09:00:00,3
19,595,2020-12-18 09:30:00,1
20,595,2020-12-18 10:00:00,3
21,595,2020-12-18 10:30:00,0
22,595,2020-12-18 11:00:00,77
23,595,2020-12-18 11:30:00,75
24,595,2020-12-18 12:00:00,74
25,595,2020-12-18 12:30:00,2
26,595,2020-12-18 13:00:00,3
27,595,2020-12-18 13:30:00,2
28,595,2020-12-18 14:00:00,3
29,595,2020-12-18 14:30:00,2
30,595,2020-12-18 15:00:00,3
31,595,2020-12-18 15:30:00,2
32,595,2020-12-18 16:00:00,2
33,595,2020-12-18 16:30:00,3
34,595,2020-12-18 17:00:00,0
35,595,2020-12-18 17:30:00,1
36,595,2020-12-18 18:00:00,0
37,595,2020-12-18 18:30:00,1
38,595,2020-12-18 19:00:00,0
39,595,2020-12-18 19:30:00,3
40,595,2020-12-18 20:00:00,2
41,595,2020-12-18 20:30:00,2
42,595,2020-12-18 21:00:00,1
43,595,2020-12-18 21:30:00,3
44,595,2020-12-18 22:00:00,0
45,595,2020-12-18 22:30:00,0
46,595,2020-12-18 23:00:00,0
47,595,2020-12-18 23:30:00,0
48,594,2020-12-18 00:00:00,0
49,594,2020-12-18 00:30:00,0
50,594,2020-12-18 01:00:00,0
51,594,2020-12-18 01:30:00,0
52,594,2020-12-18 02:00:00,0
53,594,2020-12-18 02:30:00,0
54,594,2020-12-18 03:00:00,0
55,594,2020-12-18 03:30:00,0
56,594,2020-12-18 04:00:00,0
57,594,2020-12-18 04:30:00,0
58,594,2020-12-18 05:00:00,0
59,594,2020-12-18 05:30:00,0
60,594,2020-12-18 06:00:00,0
61,594,2020-12-18 06:30:00,0
62,594,2020-12-18 07:00:00,0
63,594,2020-12-18 07:30:00,0
64,594,2020-12-18 08:00:00,0
65,594,2020-12-18 08:30:00,0
66,594,2020-12-18 09:00:00,75
67,594,2020-12-18 09:30:00,74
68,594,2020-12-18 10:00:00,74
69,594,2020-12-18 10:30:00,78
70,594,2020-12-18 11:00:00,0
71,594,2020-12-18 11:30:00,3
72,594,2020-12-18 12:00:00,1
73,594,2020-12-18 12:30:00,1
74,594,2020-12-18 13:00:00,1
75,594,2020-12-18 13:30:00,3
76,594,2020-12-18 14:00:00,3
77,594,2020-12-18 14:30:00,3
78,594,2020-12-18 15:00:00,0
79,594,2020-12-18 15:30:00,0
80,594,2020-12-18 16:00:00,0
81,594,2020-12-18 16:30:00,2
82,594,2020-12-18 17:00:00,0
83,594,2020-12-18 17:30:00,3
84,594,2020-12-18 18:00:00,0
85,594,2020-12-18 18:30:00,1
86,594,2020-12-18 19:00:00,2
87,594,2020-12-18 19:30:00,1
88,594,2020-12-18 20:00:00,0
89,594,2020-12-18 20:30:00,1
90,594,2020-12-18 21:00:00,2
91,594,2020-12-18 21:30:00,2
92,594,2020-12-18 22:00:00,0
93,594,2020-12-18 22:30:00,0
94,594,2020-12-18 23:00:00,0
95,594,2020-12-18 23:30:00,0
96,593,2020-12-18 00:00:00,0
97,593,2020-12-18 00:30:00,0
98,593,2020-12-18 01:00:00,0
99,593,2020-12-18 01:30:00,0
100,593,2020-12-18 02:00:00,0
101,593,2020-12-18 02:30:00,0
102,593,2020-12-18 03:00:00,0
103,593,2020-12-18 03:30:00,0
104,593,2020-12-18 04:00:00,0
105,593,2020-12-18 04:30:00,0
106,593,2020-12-18 05:00:00,0
107,593,2020-12-18 05:30:00,0
108,593,2020-12-18 06:00:00,0
109,593,2020-12-18 06:30:00,0
110,593,2020-12-18 07:00:00,0
111,593,2020-12-18 07:30:00,0
112,593,2020-12-18 08:00:00,0
113,593,2020-12-18 08:30:00,3
114,593,2020-12-18 09:00:00,73
115,593,2020-12-18 09:30:00,77
116,593,2020-12-18 10:00:00,79
117,593,2020-12-18 10:30:00,74
118,593,2020-12-18 11:00:00,2
119,593,2020-12-18 11:30:00,1
120,593,2020-12-18 12:00:00,2
121,593,2020-12-18 12:30:00,2
122,593,2020-12-18 13:00:00,2
123,593,2020-12-18 13:30:00,3
124,593,2020-12-18 14:00:00,1
125,593,2020-12-18 14:30:00,2
126,593,2020-12-18 15:00:00,1
127,593,2020-12-18 15:30:00,2
128,593,2020-12-18 16:00:00,3
129,593,2020-12-18 16:30:00,1
130,593,2020-12-18 17:00:00,1
131,593,2020-12-18 17:30:00,1
132,593,2020-12-18 18:00:00,2
133,593,2020-12-18 18:30:00,2
134,593,2020-12-18 19:00:00,2
135,593,2020-12-18 19:30:00,3
136,593,2020-12-18 20:00:00,1
137,593,2020-12-18 20:30:00,3
138,593,2020-12-18 21:00:00,2
139,593,2020-12-18 21:30:00,1
140,593,2020-12-18 22:00:00,0
141,593,2020-12-18 22:30:00,0
142,593,2020-12-18 23:00:00,0
143,593,2020-12-18 23:30:00,0
144,585,2020-12-18 00:00:00,0
145,585,2020-12-18 00:30:00,0
146,585,2020-12-18 01:00:00,0
147,585,2020-12-18 01:30:00,0
148,585,2020-12-18 02:00:00,0
149,585,2020-12-18 02:30:00,0
150,585,2020-12-18 03:00:00,0
151,585,2020-12-18 03:30:00,0
152,585,2020-12-18 04:00:00,0
153,585,2020-12-18 04:30:00,0
154,585,2020-12-18 05:00:00,0
155,585,2020-12-18 05:30:00,0
156,585,2020-12-18 06:00:00,0
157,585,2020-12-18 06:30:00,0
158,585,2020-12-18 07:00:00,0
159,585,2020-12-18 07:30:00,0
160,585,2020-12-18 08:00:00,0
161,585,2020-12-18 08:30:00,3
162,585,2020-12-18 09:00:00,50
163,585,2020-12-18 09:30:00,58
164,585,2020-12-18 10:00:00,52
165,585,2020-12-18 10:30:00,60
166,585,2020-12-18 11:00:00,1
167,585,2020-12-18 11:30:00,2
168,585,2020-12-18 12:00:00,1
169,585,2020-12-18 12:30:00,0
170,585,2020-12-18 13:00:00,1
171,585,2020-12-18 13:30:00,1
172,585,2020-12-18 14:00:00,0
173,585,2020-12-18 14:30:00,0
174,585,2020-12-18 15:00:00,3
175,585,2020-12-18 15:30:00,0
176,585,2020-12-18 16:00:00,1
177,585,2020-12-18 16:30:00,2
178,585,2020-12-18 17:00:00,2
179,585,2020-12-18 17:30:00,0
180,585,2020-12-18 18:00:00,1
181,585,2020-12-18 18:30:00,1
182,585,2020-12-18 19:00:00,3
183,585,2020-12-18 19:30:00,3
184,585,2020-12-18 20:00:00,1
185,585,2020-12-18 20:30:00,2
186,585,2020-12-18 21:00:00,0
187,585,2020-12-18 21:30:00,0
188,585,2020-12-18 22:00:00,0
189,585,2020-12-18 22:30:00,0
190,585,2020-12-18 23:00:00,0
191,585,2020-12-18 23:30:00,0
192,584,2020-12-18 00:00:00,3
193,584,2020-12-18 00:30:00,3
194,584,2020-12-18 01:00:00,1
195,584,2020-12-18 01:30:00,1
196,584,2020-12-18 02:00:00,2
197,584,2020-12-18 02:30:00,3
198,584,2020-12-18 03:00:00,3
199,584,2020-12-18 03:30:00,1
200,584,2020-12-18 04:00:00,2
201,584,2020-12-18 04:30:00,2
202,584,2020-12-18 05:00:00,1
203,584,2020-12-18 05:30:00,1
204,584,2020-12-18 06:00:00,1
205,584,2020-12-18 06:30:00,1
206,584,2020-12-18 07:00:00,1
207,584,2020-12-18 07:30:00,3
208,584,2020-12-18 08:00:00,1
209,584,2020-12-18 08:30:00,0
210,584,2020-12-18 09:00:00,1
211,584,2020-12-18 09:30:00,3
212,584,2020-12-18 10:00:00,0
213,584,2020-12-18 10:30:00,3
214,584,2020-12-18 11:00:00,3
215,584,2020-12-18 11:30:00,2
216,584,2020-12-18 12:00:00,2
217,584,2020-12-18 12:30:00,3
218,584,2020-12-18 13:00:00,2
219,584,2020-12-18 13:30:00,1
220,584,2020-12-18 14:00:00,3
221,584,2020-12-18 14:30:00,2
222,584,2020-12-18 15:00:00,1
223,584,2020-12-18 15:30:00,2
224,584,2020-12-18 16:00:00,3
225,584,2020-12-18 16:30:00,1
226,584,2020-12-18 17:00:00,0
227,584,2020-12-18 17:30:00,0
228,584,2020-12-18 18:00:00,1
229,584,2020-12-18 18:30:00,1
230,584,2020-12-18 19:00:00,2
231,584,2020-12-18 19:30:00,1
232,584,2020-12-18 20:00:00,3
233,584,2020-12-18 20:30:00,1
234,584,2020-12-18 21:00:00,0
235,584,2020-12-18 21:30:00,3
236,584,2020-12-18 22:00:00,1
237,584,2020-12-18 22:30:00,3
238,584,2020-12-18 23:00:00,2
239,584,2020-12-18 23:30:00,2
240,583,2020-12-18 00:00:00,0
241,583,2020-12-18 00:30:00,0
242,583,2020-12-18 01:00:00,0
243,583,2020-12-18 01:30:00,1
244,583,2020-12-18 02:00:00,1
245,583,2020-12-18 02:30:00,1
246,583,2020-12-18 03:00:00,3
247,583,2020-12-18 03:30:00,0
248,583,2020-12-18 04:00:00,0
249,583,2020-12-18 04:30:00,0
250,583,2020-12-18 05:00:00,2
251,583,2020-12-18 05:30:00,2
252,583,2020-12-18 06:00:00,2
253,583,2020-12-18 06:30:00,3
254,583,2020-12-18 07:00:00,2
255,583,2020-12-18 07:30:00,2
256,583,2020-12-18 08:00:00,1
257,583,2020-12-18 08:30:00,0
258,583,2020-12-18 09:00:00,1
259,583,2020-12-18 09:30:00,2
260,583,2020-12-18 10:00:00,0
261,583,2020-12-18 10:30:00,0
262,583,2020-12-18 11:00:00,3
263,583,2020-12-18 11:30:00,2
264,583,2020-12-18 12:00:00,1
265,583,2020-12-18 12:30:00,0
266,583,2020-12-18 13:00:00,0
267,583,2020-12-18 13:30:00,0
268,583,2020-12-18 14:00:00,2
269,583,2020-12-18 14:30:00,0
270,583,2020-12-18 15:00:00,2
271,583,2020-12-18 15:30:00,3
272,583,2020-12-18 16:00:00,1
273,583,2020-12-18 16:30:00,2
274,583,2020-12-18 17:00:00,0
275,583,2020-12-18 17:30:00,3
276,583,2020-12-18 18:00:00,1
277,583,2020-12-18 18:30:00,3
278,583,2020-12-18 19:00:00,0
279,583,2020-12-18 19:30:00,2
280,583,2020-12-18 20:00:00,0
281,583,2020-12-18 20:30:00,3
282,583,2020-12-18 21:00:00,0
283,583,2020-12-18 21:30:00,3
284,583,2020-12-18 22:00:00,3
285,583,2020-12-18 22:30:00,1
286,583,2020-12-18 23:00:00,0
287,583,2020-12-18 23:30:00,2
288,484,2020-12-18 00:00:00,0
289,484,2020-12-18 00:30:00,0
290,484,2020-12-18 01:00:00,0
291,484,2020-12-18 01:30:00,0
292,484,2020-12-18 02:00:00,0
293,484,2020-12-18 02:30:00,0
294,484,2020-12-18 03:00:00,0
295,484,2020-12-18 03:30:00,0
296,484,2020-12-18 04:00:00,0
297,484,2020-12-18 04:30:00,0
298,484,2020-12-18 05:00:00,0
299,484,2020-12-18 05:30:00,0
300,484,2020-12-18 06:00:00,0
301,484,2020-12-18 06:30:00,0
302,484,2020-12-18 07:00:00,0
303,484,2020-12-18 07:30:00,0
304,484,2020-12-18 08:00:00,0
305,484,2020-12-18 08:30:00,1
306,484,2020-12-18 09:00:00,16
307,484,2020-12-18 09:30:00,17
308,484,2020-12-18 10:00:00,20
309,484,2020-12-18 10:30:00,11
310,484,2020-12-18 11:00:00,3
311,484,2020-12-18 11:30:00,3
312,484,2020-12-18 12:00:00,1
313,484,2020-12-18 12:30:00,0
314,484,2020-12-18 13:00:00,3
315,484,2020-12-18 13:30:00,0
316,484,2020-12-18 14:00:00,3
317,484,2020-12-18 14:30:00,1
318,484,2020-12-18 15:00:00,3
319,484,2020-12-18 15:30:00,0
320,484,2020-12-18 16:00:00,1
321,484,2020-12-18 16:30:00,3
322,484,2020-12-18 17:00:00,3
323,484,2020-12-18 17:30:00,3
324,484,2020-12-18 18:00:00,3
325,484,2020-12-18 18:30:00,1
326,484,2020-12-18 19:00:00,0
327,484,2020-12-18 19:30:00,2
328,484,2020-12-18 20:00:00,1
329,484,2020-12-18 20:30:00,1
330,484,2020-12-18 21:00:00,1
331,484,2020-12-18 21:30:00,1
332,484,2020-12-18 22:00:00,0
333,484,2020-12-18 22:30:00,0
334,484,2020-12-18 23:00:00,0
335,484,2020-12-18 23:30:00,0
336,363,2020-12-18 00:00:00,0
337,363,2020-12-18 00:30:00,0
338,363,2020-12-18 01:00:00,0
339,363,2020-12-18 01:30:00,0
340,363,2020-12-18 02:00:00,0
341,363,2020-12-18 02:30:00,0
342,363,2020-12-18 03:00:00,0
343,363,2020-12-18 03:30:00,0
344,363,2020-12-18 04:00:00,0
345,363,2020-12-18 04:30:00,0
346,363,2020-12-18 05:00:00,0
347,363,2020-12-18 05:30:00,0
348,363,2020-12-18 06:00:00,0
349,363,2020-12-18 06:30:00,0
350,363,2020-12-18 07:00:00,0
351,363,2020-12-18 07:30:00,0
352,363,2020-12-18 08:00:00,0
353,363,2020-12-18 08:30:00,3
354,363,2020-12-18 09:00:00,18
355,363,2020-12-18 09:30:00,19
356,363,2020-12-18 10:00:00,16
357,363,2020-12-18 10:30:00,17
358,363,2020-12-18 11:00:00,1
359,363,2020-12-18 11:30:00,1
360,363,2020-12-18 12:00:00,1
361,363,2020-12-18 12:30:00,3
362,363,2020-12-18 13:00:00,0
363,363,2020-12-18 13:30:00,0
364,363,2020-12-18 14:00:00,0
365,363,2020-12-18 14:30:00,0
366,363,2020-12-18 15:00:00,2
367,363,2020-12-18 15:30:00,3
368,363,2020-12-18 16:00:00,0
369,363,2020-12-18 16:30:00,0
370,363,2020-12-18 17:00:00,2
371,363,2020-12-18 17:30:00,1
372,363,2020-12-18 18:00:00,0
373,363,2020-12-18 18:30:00,2
374,363,2020-12-18 19:00:00,0
375,363,2020-12-18 19:30:00,2
376,363,2020-12-18 20:00:00,2
377,363,2020-12-18 20:30:00,3
378,363,2020-12-18 21:00:00,3
379,363,2020-12-18 21:30:00,1
380,363,2020-12-18 22:00:00,0
381,363,2020-12-18 22:30:00,0
382,363,2020-12-18 23:00:00,0
383,363,2020-12-18 23:30:00,0
384,講堂,2020-12-18 00:00:00,0
385,講堂,2020-12-18 00:30:00,0
386,講堂,2020-12-18 01:00:00,0
387,講堂,2020-12-18 01:30:00,0
388,講堂,2020-12-18 02:00:00,0
389,講堂,2020-12-18 02:30:00,0
390,講堂,2020-12-18 03:00:00,0
391,講堂,2020-12-18 03:30:00,0
392,講堂,2020-12-18 04:00:00,0
393,講堂,2020-12-18 04:30:00,0
394,講堂,2020-12-18 05:00:00,0
395,講堂,2020-12-18 05:30:00,0
396,講堂,2020-12-18 06:00:00,0
397,講堂,2020-12-18 06:30:00,0
398,講堂,2020-12-18 07:00:00,0
399,講堂,2020-12-18 07:30:00,0
400,講堂,2020-12-18 08:00:00,0
401,講堂,2020-12-18 08:30:00,2
402,講堂,2020-12-18 09:00:00,0
