,location,time,students
0,595,2020-12-18 00:00:00,0
1,595,2020-12-18 00:30:00,0
2,595,2020-12-18 01:00:00,0
3,595,2020-12-18 01:30:00,0
4,595,2020-12-18 02:00:00,0
5,595,2020-12-18 02:30:00,0
6,595,2020-12-18 03:00:00,0
7,595,2020-12-18 03:30:00,0
8,595,2020-12-18 04:00:00,0
9,595,2020-12-18 04:30:00,0
10,595,2020-12-18 05:00:00,0
11,595,2020-12-18 05:30:00,0
12,595,2020-12-18 06:00:00,0
13,595,2020-12-18 06:30:00,0
14,595,2020-12-18 07:00:00,0
15,595,2020-12-18 07:30:00,0
16,595,2020-12-18 08:00:00,0
17,595,2020-12-18 08:30:00,2
18,595,2020-12-18 09:00:00,0
19,595,2020-12-18 09:30:00,2
20,595,2020-12-18 10:00:00,0
21,595,2020-12-18 10:30:00,3
22,595,2020-12-18 11:00:00,77
23,595,2020-12-18 11:30:00,70
24,595,2020-12-18 12:00:00,74
25,595,2020-12-18 12:30:00,1
26,595,2020-12-18 13:00:00,1
27,595,2020-12-18 13:30:00,1
28,595,2020-12-18 14:00:00,0
29,595,2020-12-18 14:30:00,2
30,595,2020-12-18 15:00:00,1
31,595,2020-12-18 15:30:00,2
32,595,2020-12-18 16:00:00,1
33,595,2020-12-18 16:30:00,1
34,595,2020-12-18 17:00:00,2
35,595,2020-12-18 17:30:00,0
36,595,2020-12-18 18:00:00,3
37,595,2020-12-18 18:30:00,2
38,595,2020-12-18 19:00:00,0
39,595,2020-12-18 19:30:00,1
40,595,2020-12-18 20:00:00,3
41,595,2020-12-18 20:30:00,3
42,595,2020-12-18 21:00:00,3
43,595,2020-12-18 21:30:00,0
44,595,2020-12-18 22:00:00,0
45,595,2020-12-18 22:30:00,0
46,595,2020-12-18 23:00:00,0
47,595,2020-12-18 23:30:00,0
48,594,2020-12-18 00:00:00,0
49,594,2020-12-18 00:30:00,0
50,594,2020-12-18 01:00:00,0
51,594,2020-12-18 01:30:00,0
52,594,2020-12-18 02:00:00,0
53,594,2020-12-18 02:30:00,0
54,594,2020-12-18 03:00:00,0
55,594,2020-12-18 03:30:00,0
56,594,2020-12-18 04:00:00,0
57,594,2020-12-18 04:30:00,0
58,594,2020-12-18 05:00:00,0
59,594,2020-12-18 05:30:00,0
60,594,2020-12-18 06:00:00,0
61,594,2020-12-18 06:30:00,0
62,594,2020-12-18 07:00:00,0
63,594,2020-12-18 07:30:00,0
64,594,2020-12-18 08:00:00,0
65,594,2020-12-18 08:30:00,1
66,594,2020-12-18 09:00:00,74
67,594,2020-12-18 09:30:00,78
68,594,2020-12-18 10:00:00,77
69,594,2020-12-18 10:30:00,70
70,594,2020-12-18 11:00:00,2
71,594,2020-12-18 11:30:00,1
72,594,2020-12-18 12:00:00,3
73,594,2020-12-18 12:30:00,0
74,594,2020-12-18 13:00:00,1
75,594,2020-12-18 13:30:00,1
76,594,2020-12-18 14:00:00,1
77,594,2020-12-18 14:30:00,0
78,594,2020-12-18 15:00:00,0
79,594,2020-12-18 15:30:00,3
80,594,2020-12-18 16:00:00,2
81,594,2020-12-18 16:30:00,2
82,594,2020-12-18 17:00:00,0
83,594,2020-12-18 17:30:00,2
84,594,2020-12-18 18:00:00,3
85,594,2020-12-18 18:30:00,1
86,594,2020-12-18 19:00:00,3
87,594,2020-12-18 19:30:00,2
88,594,2020-12-18 20:00:00,0
89,594,2020-12-18 20:30:00,0
90,594,2020-12-18 21:00:00,0
91,594,2020-12-18 21:30:00,3
92,594,2020-12-18 22:00:00,0
93,594,2020-12-18 22:30:00,0
94,594,2020-12-18 23:00:00,0
95,594,2020-12-18 23:30:00,0
96,593,2020-12-18 00:00:00,0
97,593,2020-12-18 00:30:00,0
98,593,2020-12-18 01:00:00,0
99,593,2020-12-18 01:30:00,0
100,593,2020-12-18 02:00:00,0
101,593,2020-12-18 02:30:00,0
102,593,2020-12-18 03:00:00,0
103,593,2020-12-18 03:30:00,0
104,593,2020-12-18 04:00:00,0
105,593,2020-12-18 04:30:00,0
106,593,2020-12-18 05:00:00,0
107,593,2020-12-18 05:30:00,0
108,593,2020-12-18 06:00:00,0
109,593,2020-12-18 06:30:00,0
110,593,2020-12-18 07:00:00,0
111,593,2020-12-18 07:30:00,0
112,593,2020-12-18 08:00:00,0
113,593,2020-12-18 08:30:00,0
114,593,2020-12-18 09:00:00,73
115,593,2020-12-18 09:30:00,73
116,593,2020-12-18 10:00:00,75
117,593,2020-12-18 10:30:00,70
118,593,2020-12-18 11:00:00,2
119,593,2020-12-18 11:30:00,0
120,593,2020-12-18 12:00:00,0
121,593,2020-12-18 12:30:00,0
122,593,2020-12-18 13:00:00,3
123,593,2020-12-18 13:30:00,0
124,593,2020-12-18 14:00:00,2
125,593,2020-12-18 14:30:00,1
126,593,2020-12-18 15:00:00,3
127,593,2020-12-18 15:30:00,1
128,593,2020-12-18 16:00:00,0
129,593,2020-12-18 16:30:00,2
130,593,2020-12-18 17:00:00,2
131,593,2020-12-18 17:30:00,2
132,593,2020-12-18 18:00:00,1
133,593,2020-12-18 18:30:00,1
134,593,2020-12-18 19:00:00,0
135,593,2020-12-18 19:30:00,2
136,593,2020-12-18 20:00:00,3
137,593,2020-12-18 20:30:00,2
138,593,2020-12-18 21:00:00,2
139,593,2020-12-18 21:30:00,0
140,593,2020-12-18 22:00:00,0
141,593,2020-12-18 22:30:00,0
142,593,2020-12-18 23:00:00,0
143,593,2020-12-18 23:30:00,0
144,585,2020-12-18 00:00:00,0
145,585,2020-12-18 00:30:00,0
146,585,2020-12-18 01:00:00,0
147,585,2020-12-18 01:30:00,0
148,585,2020-12-18 02:00:00,0
149,585,2020-12-18 02:30:00,0
150,585,2020-12-18 03:00:00,0
151,585,2020-12-18 03:30:00,0
152,585,2020-12-18 04:00:00,0
153,585,2020-12-18 04:30:00,0
154,585,2020-12-18 05:00:00,0
155,585,2020-12-18 05:30:00,0
156,585,2020-12-18 06:00:00,0
157,585,2020-12-18 06:30:00,0
158,585,2020-12-18 07:00:00,0
159,585,2020-12-18 07:30:00,0
160,585,2020-12-18 08:00:00,0
161,585,2020-12-18 08:30:00,2
162,585,2020-12-18 09:00:00,60
163,585,2020-12-18 09:30:00,52
164,585,2020-12-18 10:00:00,55
165,585,2020-12-18 10:30:00,57
166,585,2020-12-18 11:00:00,1
167,585,2020-12-18 11:30:00,0
168,585,2020-12-18 12:00:00,0
169,585,2020-12-18 12:30:00,1
170,585,2020-12-18 13:00:00,3
171,585,2020-12-18 13:30:00,1
172,585,2020-12-18 14:00:00,1
173,585,2020-12-18 14:30:00,0
174,585,2020-12-18 15:00:00,1
175,585,2020-12-18 15:30:00,1
176,585,2020-12-18 16:00:00,2
177,585,2020-12-18 16:30:00,2
178,585,2020-12-18 17:00:00,1
179,585,2020-12-18 17:30:00,1
180,585,2020-12-18 18:00:00,2
181,585,2020-12-18 18:30:00,0
182,585,2020-12-18 19:00:00,1
183,585,2020-12-18 19:30:00,2
184,585,2020-12-18 20:00:00,1
185,585,2020-12-18 20:30:00,3
186,585,2020-12-18 21:00:00,1
187,585,2020-12-18 21:30:00,0
188,585,2020-12-18 22:00:00,0
189,585,2020-12-18 22:30:00,0
190,585,2020-12-18 23:00:00,0
191,585,2020-12-18 23:30:00,0
192,584,2020-12-18 00:00:00,3
193,584,2020-12-18 00:30:00,2
194,584,2020-12-18 01:00:00,3
195,584,2020-12-18 01:30:00,2
196,584,2020-12-18 02:00:00,0
197,584,2020-12-18 02:30:00,0
198,584,2020-12-18 03:00:00,2
199,584,2020-12-18 03:30:00,2
200,584,2020-12-18 04:00:00,2
201,584,2020-12-18 04:30:00,0
202,584,2020-12-18 05:00:00,2
203,584,2020-12-18 05:30:00,0
204,584,2020-12-18 06:00:00,1
205,584,2020-12-18 06:30:00,3
206,584,2020-12-18 07:00:00,3
207,584,2020-12-18 07:30:00,2
208,584,2020-12-18 08:00:00,0
209,584,2020-12-18 08:30:00,2
210,584,2020-12-18 09:00:00,1
211,584,2020-12-18 09:30:00,0
212,584,2020-12-18 10:00:00,1
213,584,2020-12-18 10:30:00,1
214,584,2020-12-18 11:00:00,2
215,584,2020-12-18 11:30:00,0
216,584,2020-12-18 12:00:00,3
217,584,2020-12-18 12:30:00,1
218,584,2020-12-18 13:00:00,0
219,584,2020-12-18 13:30:00,3
220,584,2020-12-18 14:00:00,1
221,584,2020-12-18 14:30:00,0
222,584,2020-12-18 15:00:00,2
223,584,2020-12-18 15:30:00,2
224,584,2020-12-18 16:00:00,3
225,584,2020-12-18 16:30:00,3
226,584,2020-12-18 17:00:00,3
227,584,2020-12-18 17:30:00,2
228,584,2020-12-18 18:00:00,3
229,584,2020-12-18 18:30:00,3
230,584,2020-12-18 19:00:00,1
231,584,2020-12-18 19:30:00,3
232,584,2020-12-18 20:00:00,2
233,584,2020-12-18 20:30:00,0
234,584,2020-12-18 21:00:00,1
235,584,2020-12-18 21:30:00,0
236,584,2020-12-18 22:00:00,0
237,584,2020-12-18 22:30:00,0
238,584,2020-12-18 23:00:00,2
239,584,2020-12-18 23:30:00,3
240,583,2020-12-18 00:00:00,1
241,583,2020-12-18 00:30:00,2
242,583,2020-12-18 01:00:00,1
243,583,2020-12-18 01:30:00,3
244,583,2020-12-18 02:00:00,2
245,583,2020-12-18 02:30:00,2
246,583,2020-12-18 03:00:00,3
247,583,2020-12-18 03:30:00,1
248,583,2020-12-18 04:00:00,3
249,583,2020-12-18 04:30:00,2
250,583,2020-12-18 05:00:00,3
251,583,2020-12-18 05:30:00,3
252,583,2020-12-18 06:00:00,2
253,583,2020-12-18 06:30:00,2
254,583,2020-12-18 07:00:00,0
255,583,2020-12-18 07:30:00,0
256,583,2020-12-18 08:00:00,2
257,583,2020-12-18 08:30:00,3
258,583,2020-12-18 09:00:00,3
259,583,2020-12-18 09:30:00,2
260,583,2020-12-18 10:00:00,2
261,583,2020-12-18 10:30:00,3
262,583,2020-12-18 11:00:00,0
263,583,2020-12-18 11:30:00,3
264,583,2020-12-18 12:00:00,0
265,583,2020-12-18 12:30:00,2
266,583,2020-12-18 13:00:00,0
267,583,2020-12-18 13:30:00,3
268,583,2020-12-18 14:00:00,0
269,583,2020-12-18 14:30:00,3
270,583,2020-12-18 15:00:00,1
271,583,2020-12-18 15:30:00,3
272,583,2020-12-18 16:00:00,1
273,583,2020-12-18 16:30:00,3
274,583,2020-12-18 17:00:00,2
275,583,2020-12-18 17:30:00,0
276,583,2020-12-18 18:00:00,2
277,583,2020-12-18 18:30:00,1
278,583,2020-12-18 19:00:00,2
279,583,2020-12-18 19:30:00,2
280,583,2020-12-18 20:00:00,1
281,583,2020-12-18 20:30:00,3
282,583,2020-12-18 21:00:00,3
283,583,2020-12-18 21:30:00,3
284,583,2020-12-18 22:00:00,3
285,583,2020-12-18 22:30:00,0
286,583,2020-12-18 23:00:00,1
287,583,2020-12-18 23:30:00,0
288,484,2020-12-18 00:00:00,0
289,484,2020-12-18 00:30:00,0
290,484,2020-12-18 01:00:00,0
291,484,2020-12-18 01:30:00,0
292,484,2020-12-18 02:00:00,0
293,484,2020-12-18 02:30:00,0
294,484,2020-12-18 03:00:00,0
295,484,2020-12-18 03:30:00,0
296,484,2020-12-18 04:00:00,0
297,484,2020-12-18 04:30:00,0
298,484,2020-12-18 05:00:00,0
299,484,2020-12-18 05:30:00,0
300,484,2020-12-18 06:00:00,0
301,484,2020-12-18 06:30:00,0
302,484,2020-12-18 07:00:00,0
303,484,2020-12-18 07:30:00,0
304,484,2020-12-18 08:00:00,0
305,484,2020-12-18 08:30:00,2
306,484,2020-12-18 09:00:00,17
307,484,2020-12-18 09:30:00,15
308,484,2020-12-18 10:00:00,13
309,484,2020-12-18 10:30:00,19
310,484,2020-12-18 11:00:00,3
311,484,2020-12-18 11:30:00,0
312,484,2020-12-18 12:00:00,3
313,484,2020-12-18 12:30:00,3
314,484,2020-12-18 13:00:00,0
315,484,2020-12-18 13:30:00,1
316,484,2020-12-18 14:00:00,3
317,484,2020-12-18 14:30:00,1
318,484,2020-12-18 15:00:00,2
319,484,2020-12-18 15:30:00,2
320,484,2020-12-18 16:00:00,0
321,484,2020-12-18 16:30:00,3
322,484,2020-12-18 17:00:00,0
323,484,2020-12-18 17:30:00,3
324,484,2020-12-18 18:00:00,0
325,484,2020-12-18 18:30:00,1
326,484,2020-12-18 19:00:00,2
327,484,2020-12-18 19:30:00,2
328,484,2020-12-18 20:00:00,1
329,484,2020-12-18 20:30:00,1
330,484,2020-12-18 21:00:00,1
331,484,2020-12-18 21:30:00,2
332,484,2020-12-18 22:00:00,0
333,484,2020-12-18 22:30:00,0
334,484,2020-12-18 23:00:00,0
335,484,2020-12-18 23:30:00,0
336,363,2020-12-18 00:00:00,0
337,363,2020-12-18 00:30:00,0
338,363,2020-12-18 01:00:00,0
339,363,2020-12-18 01:30:00,0
340,363,2020-12-18 02:00:00,0
341,363,2020-12-18 02:30:00,0
342,363,2020-12-18 03:00:00,0
343,363,2020-12-18 03:30:00,0
344,363,2020-12-18 04:00:00,0
345,363,2020-12-18 04:30:00,0
346,363,2020-12-18 05:00:00,0
347,363,2020-12-18 05:30:00,0
348,363,2020-12-18 06:00:00,0
349,363,2020-12-18 06:30:00,0
350,363,2020-12-18 07:00:00,0
351,363,2020-12-18 07:30:00,0
352,363,2020-12-18 08:00:00,0
353,363,2020-12-18 08:30:00,0
354,363,2020-12-18 09:00:00,10
355,363,2020-12-18 09:30:00,12
356,363,2020-12-18 10:00:00,12
357,363,2020-12-18 10:30:00,20
358,363,2020-12-18 11:00:00,1
359,363,2020-12-18 11:30:00,1
360,363,2020-12-18 12:00:00,1
361,363,2020-12-18 12:30:00,3
362,363,2020-12-18 13:00:00,1
363,363,2020-12-18 13:30:00,0
364,363,2020-12-18 14:00:00,3
365,363,2020-12-18 14:30:00,0
366,363,2020-12-18 15:00:00,0
367,363,2020-12-18 15:30:00,3
368,363,2020-12-18 16:00:00,2
369,363,2020-12-18 16:30:00,2
370,363,2020-12-18 17:00:00,0
371,363,2020-12-18 17:30:00,3
372,363,2020-12-18 18:00:00,2
373,363,2020-12-18 18:30:00,1
374,363,2020-12-18 19:00:00,0
375,363,2020-12-18 19:30:00,0
376,363,2020-12-18 20:00:00,2
377,363,2020-12-18 20:30:00,2
378,363,2020-12-18 21:00:00,3
379,363,2020-12-18 21:30:00,3
380,363,2020-12-18 22:00:00,0
381,363,2020-12-18 22:30:00,0
382,363,2020-12-18 23:00:00,0
383,363,2020-12-18 23:30:00,0
384,講堂,2020-12-18 00:00:00,0
385,講堂,2020-12-18 00:30:00,0
386,講堂,2020-12-18 01:00:00,0
387,講堂,2020-12-18 01:30:00,0
388,講堂,2020-12-18 02:00:00,0
389,講堂,2020-12-18 02:30:00,0
390,講堂,2020-12-18 03:00:00,0
391,講堂,2020-12-18 03:30:00,0
392,講堂,2020-12-18 04:00:00,0
393,講堂,2020-12-18 04:30:00,0
394,講堂,2020-12-18 05:00:00,0
395,講堂,2020-12-18 05:30:00,0
396,講堂,2020-12-18 06:00:00,0
397,講堂,2020-12-18 06:30:00,0
398,講堂,2020-12-18 07:00:00,0
399,講堂,2020-12-18 07:30:00,0
400,講堂,2020-12-18 08:00:00,0
401,講堂,2020-12-18 08:30:00,3
402,講堂,2020-12-18 09:00:00,0
